pid,price,pname,description,selltype,seller,place,image,major,difficulty,ptype
0,21000,CPA 객관식 경영학(8판)(전2권),book,0,admin,Samsung library,,BUS,2,0
1,5000,경영학원론,book,0,admin,Samsung library,,BUS,2,0
2,4000,경영학원론(2판)(양장본 HardCover),book,0,admin,Samsung library,,BUS,2,0
3,15000,AI 2045 인공지능 미래보고서,book,0,admin,Samsung library,,BUS,2,0
4,6500,도전자의 전략,book,0,admin,Samsung library,,BUS,2,0
5,8000,디지털과 인간,book,0,admin,Samsung library,,BUS,2,0
6,10000,마케팅 관리(세계 일류들의)(양장본 HardCover),book,0,admin,Samsung library,,BUS,2,0
7,10000,마케팅(4판)(양장본 HardCover),book,0,admin,Samsung library,,BUS,2,0
8,12000,마케팅관리,book,0,admin,Samsung library,,BUS,2,0
9,12000,마케팅관리(핵심)(5판),book,0,admin,Samsung library,,BUS,2,0
10,5000,마케팅의 이해(양장본 HardCover),book,0,admin,Samsung library,,BUS,2,0
11,7000,프레임(양장본 HardCover),book,0,admin,Samsung library,,BUS,2,0
12,11000,플랫폼 제국의 미래,book,0,admin,Samsung library,,BUS,2,0
13,10000,플랫폼의 생각법,book,0,admin,Samsung library,,BUS,2,0
14,10000,현대마케팅론(전면개정판 8판)(양장본 HardCover),book,0,admin,Samsung library,,BUS,2,0
15,15000,Kotler의 마케팅 원리(16판),book,0,admin,Samsung library,,BUS,2,0
16,5000,Principles of Marketing,book,0,admin,Samsung library,,BUS,2,0
17,5000,Principles of Marketing 15/E: Global Edition,book,0,admin,Samsung library,,BUS,2,0
18,8000,Marketing Management,book,0,admin,Samsung library,,BUS,2,0
19,5000,전략적 브랜드관리: 이론과 응용(4판)(4판)(양장본 HardCover),book,0,admin,Samsung library,,BUS,2,0
20,25000,현대마케팅론(9판)(양장본 HardCover),book,0,admin,Samsung library,,BUS,2,0
21,8000,날개를 준비하라(스티브 잡스처럼 이건희처럼)(세계일류들의 미래창조 비결 1...,book,0,admin,Samsung library,,BUS,2,0
22,5000,소비자행동(5판)(양장본 HardCover),book,0,admin,Samsung library,,BUS,2,0
23,5000,소비자행동(6판)(양장본 HardCover),book,0,admin,Samsung library,,BUS,2,0
24,13000,Strategic Brand Management,book,0,admin,Samsung library,,BUS,2,0
25,9900,날개를 준비하라,book,0,admin,Samsung library,,BUS,2,0
26,38000,Marketing Channels 7/E:a Management View,book,0,admin,Samsung library,,BUS,2,0
27,10000,소비자행동(2판),book,0,admin,Samsung library,,BUS,2,0
28,3000,소비자행동(7판),book,0,admin,Samsung library,,BUS,2,0
29,12000,"Fundamentals of Corporate Finance, Aisan Global 2 Edition",book,0,admin,Samsung library,,BUS,2,0
30,5000,"Fundamentals of Corporate Finance, Aisan Global Edition",book,0,admin,Samsung library,,BUS,2,0
31,20000,Fundamentals of Corprate Finance,book,0,admin,Samsung library,,BUS,2,0
32,13000,Ross의 재무관리(10판),book,0,admin,Samsung library,,BUS,2,0
33,15000,Corporate Finance (Asia Global Edition),book,0,admin,Samsung library,,BUS,2,0
34,19000,기업의 재무관리(Ross의)(11판),book,0,admin,Samsung library,,BUS,2,0
35,15000,재무관리(Ross의)(12판),book,0,admin,Samsung library,,BUS,2,0
36,8000,재무관리의 이해(양장본 HardCover),book,0,admin,Samsung library,,BUS,2,0
37,10000,재무관리의 이해(2판)(양장본 HardCover),book,0,admin,Samsung library,,BUS,2,0
38,10000,Corporate Finance 3/E: The Core (Global Edition),book,0,admin,Samsung library,,BUS,2,0
39,15000,Corporate Finance: The Core,book,0,admin,Samsung library,,BUS,2,0
